,price,acreage,location
0,"$29,000,000","3,900 acres","Attitude Adjustment Road, Savannah, NY"
1,"$65,000,000","2,079 acres","45 Hitchcock Lane, Millbrook, NY"
2,"$36,000,000","1,946 acres","0 Woodward Hill, Pine Plains, NY"
3,"$3,395,000","1,081 acres","11609 County Road 18, Hobart, NY"
4,"$6,500,000",668 acres,"509 Boy Scout Road, Maryland, NY"
5,"$1,149,900",666 acres,"1413 Indiana Ave, Olean, NY"
6,"$1,850,000",759 acres,"1032 Bogtown Road, Salem, NY"
7,"$4,315,000",607 acres,"976 State Route 13, Williamstown, NY"
8,"$9,750,000",500 acres,"225 Route 22, Pawling, NY"
9,"$5,500,000",834 acres,"55 Steges Rd, Eldred, NY"
